time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,PoA,server,ne_latency,fe_latency,cs_latency
377,0,0,2,0,0,0,R3,cs,0,0,9
378,0,0,2,0,0,0,R3,cs,0,0,9
379,0,0,2,0,0,0,R3,cs,0,0,9
380,0,0,2,0,0,0,R3,cs,0,0,9
381,0,0,2,0,0,0,R3,cs,0,0,9
382,0,0,2,0,0,0,R3,cs,0,0,9
383,0,0,2,0,0,0,R3,cs,0,0,9
384,0,0,2,0,0,0,R3,cs,0,0,9
385,0,0,2,0,0,0,R3,cs,0,0,9
386,0,0,2,0,0,0,R3,cs,0,0,9
387,0,0,2,0,0,0,R3,cs,0,0,9
388,0,0,2,0,0,0,R3,cs,0,0,9
389,0,0,2,0,0,0,R3,cs,0,0,9
390,0,0,2,0,0,0,R3,cs,0,0,9
391,0,0,2,0,0,0,R3,cs,0,0,9
392,0,0,2,0,0,0,R3,cs,0,0,9
393,0,0,2,0,0,0,R3,cs,0,0,9
394,0,0,2,0,0,0,R3,cs,0,0,9
395,0,0,2,0,0,0,R3,cs,0,0,9
396,0,0,2,0,0,0,R3,cs,0,0,9
397,0,0,2,0,0,0,R3,cs,0,0,9
398,0,0,2,0,0,0,R3,cs,0,0,9
399,0,0,2,0,0,0,R3,cs,0,0,9
400,0,0,2,0,0,0,R3,cs,0,0,9
