Time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,ne_latency,fe_latency,cs_latency,PoA,server,Delay
282,0,2,0,0,0,0,0,8,0,R2,fe,10
283,0,2,0,0,0,0,0,8,0,R2,fe,10
284,0,2,0,0,0,0,0,8,0,R2,fe,10
285,0,2,0,0,0,0,0,8,0,R2,fe,10
286,0,2,0,0,0,0,0,8,0,R2,fe,10
287,0,2,0,0,0,0,0,8,0,R2,fe,10
288,0,2,0,0,0,0,0,8,0,R2,fe,10
289,0,2,0,0,0,0,0,8,0,R2,fe,10
290,0,2,0,0,0,0,0,8,0,R2,fe,10
291,0,2,0,0,0,0,0,8,0,R2,fe,10
292,0,2,0,0,0,0,0,8,0,R2,fe,10
293,0,2,0,0,0,0,0,8,0,R2,fe,10
294,0,2,0,0,0,0,0,8,0,R2,fe,10
295,0,2,0,0,0,0,0,8,0,R2,fe,10
296,0,2,0,0,0,0,0,8,0,R2,fe,10
297,0,2,0,0,0,0,0,8,0,R2,fe,10
298,0,2,0,0,0,0,0,8,0,R2,fe,10
299,0,2,0,0,0,0,0,8,0,R2,fe,10
300,0,2,0,0,0,0,0,8,0,R2,fe,10
301,0,0,2,0,0,0,0,4,0,R3,fe,6
302,0,0,2,0,0,0,0,4,0,R3,fe,6
303,0,0,2,0,0,0,0,4,0,R3,fe,6
304,0,0,2,0,0,0,0,4,0,R3,fe,6
305,0,0,2,0,0,0,0,4,0,R3,fe,6
306,0,0,2,0,0,0,0,4,0,R3,fe,6
307,0,0,2,0,0,0,0,4,0,R3,fe,6
308,0,0,2,0,0,0,0,4,0,R3,fe,6
309,0,0,2,0,0,0,0,4,0,R3,fe,6
310,0,0,2,0,0,0,0,4,0,R3,fe,6
311,0,0,2,0,0,0,0,4,0,R3,fe,6
312,0,0,2,0,0,0,0,4,0,R3,fe,6
313,0,0,2,0,0,0,0,4,0,R3,fe,6
314,0,0,2,0,0,0,0,4,0,R3,fe,6
315,0,0,2,0,0,0,0,4,0,R3,fe,6
316,0,0,2,0,0,0,0,4,0,R3,fe,6
317,0,0,2,0,0,0,0,4,0,R3,fe,6
318,0,0,2,0,0,0,0,4,0,R3,fe,6
319,0,0,2,0,0,0,0,4,0,R3,fe,6
320,0,0,2,0,0,0,0,4,0,R3,fe,6
321,0,0,2,0,0,0,0,4,0,R3,fe,6
322,0,0,2,0,0,0,0,4,0,R3,fe,6
323,0,0,2,0,0,0,0,4,0,R3,fe,6
324,0,0,2,0,0,0,0,4,0,R3,fe,6
325,0,0,2,0,0,0,0,4,0,R3,fe,6
326,0,0,2,0,0,0,0,4,0,R3,fe,6
327,0,0,2,0,0,0,0,4,0,R3,fe,6
328,0,0,2,0,0,0,0,4,0,R3,fe,6
329,0,0,2,0,0,0,0,4,0,R3,fe,6
330,0,0,2,0,0,0,0,4,0,R3,fe,6
331,0,0,2,0,0,0,0,4,0,R3,fe,6
332,0,0,2,0,0,0,0,4,0,R3,fe,6
333,0,0,2,0,0,0,0,4,0,R3,fe,6
334,0,0,2,0,0,0,0,4,0,R3,fe,6
335,0,0,2,0,0,0,0,4,0,R3,fe,6
336,0,0,2,0,0,0,0,4,0,R3,fe,6
337,0,0,2,0,0,0,0,4,0,R3,fe,6
338,0,0,2,0,0,0,0,4,0,R3,fe,6
339,0,0,2,0,0,0,0,4,0,R3,fe,6
340,0,0,2,0,0,0,0,4,0,R3,fe,6
341,0,0,2,0,0,0,0,4,0,R3,fe,6
342,0,0,2,0,0,0,0,4,0,R3,fe,6
343,0,0,2,0,0,0,0,4,0,R3,fe,6
344,0,0,2,0,0,0,0,4,0,R3,fe,6
345,0,0,2,0,0,0,0,4,0,R3,fe,6
346,0,0,2,0,0,0,0,4,0,R3,fe,6
347,0,0,2,0,0,0,0,4,0,R3,fe,6
348,0,0,2,0,0,0,0,4,0,R3,fe,6
349,0,0,2,0,0,0,0,4,0,R3,fe,6
350,0,0,2,0,0,0,0,4,0,R3,fe,6
351,0,0,2,0,0,0,0,0,9,R3,cs,11
352,0,0,2,0,0,0,0,0,9,R3,cs,11
353,0,0,2,0,0,0,0,0,9,R3,cs,11
354,0,0,2,0,0,0,0,0,9,R3,cs,11
355,0,0,2,0,0,0,0,0,9,R3,cs,11
356,0,0,2,0,0,0,0,0,9,R3,cs,11
357,0,0,2,0,0,0,0,0,9,R3,cs,11
358,0,0,2,0,0,0,0,0,9,R3,cs,11
359,0,0,2,0,0,0,0,0,9,R3,cs,11
360,0,0,2,0,0,0,0,0,9,R3,cs,11
361,0,0,2,0,0,0,0,0,9,R3,cs,11
362,0,0,2,0,0,0,0,0,9,R3,cs,11
363,0,0,2,0,0,0,0,0,9,R3,cs,11
364,0,0,2,0,0,0,0,0,9,R3,cs,11
365,0,0,2,0,0,0,0,0,9,R3,cs,11
366,0,0,2,0,0,0,0,0,9,R3,cs,11
367,0,0,2,0,0,0,0,0,9,R3,cs,11
368,0,0,2,0,0,0,0,0,9,R3,cs,11
369,0,0,2,0,0,0,0,0,9,R3,cs,11
370,0,0,2,0,0,0,0,0,9,R3,cs,11
371,0,0,2,0,0,0,0,0,9,R3,cs,11
372,0,0,2,0,0,0,0,0,9,R3,cs,11
373,0,0,2,0,0,0,0,0,9,R3,cs,11
374,0,0,2,0,0,0,0,0,9,R3,cs,11
375,0,0,2,0,0,0,0,0,9,R3,cs,11
376,0,0,2,0,0,0,0,0,9,R3,cs,11
377,0,0,2,0,0,0,0,0,9,R3,cs,11
378,0,0,2,0,0,0,0,0,9,R3,cs,11
379,0,0,2,0,0,0,0,0,9,R3,cs,11
380,0,0,2,0,0,0,0,0,9,R3,cs,11
381,0,0,2,0,0,0,0,0,9,R3,cs,11
382,0,0,2,0,0,0,0,0,9,R3,cs,11
383,0,0,2,0,0,0,0,0,9,R3,cs,11
384,0,0,2,0,0,0,0,0,9,R3,cs,11
385,0,0,2,0,0,0,0,0,9,R3,cs,11
386,0,0,2,0,0,0,0,0,9,R3,cs,11
387,0,0,2,0,0,0,0,0,9,R3,cs,11
