2020-06-25 15:43:59.295 {"radius": 3, "center": [4.4594515612686205, -0.009011238732394733]}
2020-06-25 15:44:00.128 {"radius": 3, "center": [4.192364879314306, 0.007940875808265378]}
2020-06-25 15:44:00.972 {"radius": 3, "center": [3.93450460512266, 0.024890784824463334]}
2020-06-25 15:44:01.903 {"radius": 3, "center": [3.650503948863286, 0.03476895544462846]}
2020-06-25 15:44:02.755 {"radius": 3, "center": [3.379228902789474, 0.03508946059597057]}
2020-06-25 15:44:03.685 {"radius": 3, "center": [3.109646544473004, 0.044647783564192876]}
2020-06-25 15:44:04.541 {"radius": 3, "center": [2.862915983001361, 0.05725596629468115]}
2020-06-25 15:44:05.503 {"radius": 3, "center": [2.5908224452780835, 0.07113849173147707]}
2020-06-25 15:44:06.317 {"radius": 3, "center": [2.3352489353021735, 0.08755531985357878]}
2020-06-25 15:44:07.284 {"radius": 3, "center": [2.0612176497745556, 0.11000539901410845]}
2020-06-25 15:44:08.105 {"radius": 3, "center": [1.8069488865205603, 0.13037082171172734]}
2020-06-25 15:44:08.960 {"radius": 3, "center": [1.5547424751400845, 0.151763729579885]}
2020-06-25 15:44:09.951 {"radius": 3, "center": [1.285003441705579, 0.15818736214046905]}
2020-06-25 15:44:10.769 {"radius": 3, "center": [1.034263121601139, 0.16636532244699703]}
2020-06-25 15:44:11.663 {"radius": 3, "center": [0.7579291505435338, 0.17293359937984]}
2020-06-25 15:44:12.515 {"radius": 3, "center": [0.4996762001453777, 0.1745924595298579]}
2020-06-25 15:44:13.367 {"radius": 3, "center": [0.24210981647442095, 0.1791891830974015]}
2020-06-25 15:44:14.251 {"radius": 3, "center": [-0.007516733293566005, 0.1700010508175783]}
2020-06-25 15:44:15.087 {"radius": 3, "center": [-0.2580313784664886, 0.17130403854856127]}
2020-06-25 15:44:15.933 {"radius": 3, "center": [-0.5019510305123576, 0.1792250804646061]}
2020-06-25 15:44:16.792 {"radius": 3, "center": [-0.7516596171096515, 0.18342883909449015]}
2020-06-25 15:44:17.641 {"radius": 3, "center": [-1.0017398376689384, 0.1930996070214219]}
2020-06-25 15:44:18.492 {"radius": 3, "center": [-1.2573100867667804, 0.21243936714067246]}
2020-06-25 15:44:19.341 {"radius": 3, "center": [-1.4977786708358116, 0.25049195178390443]}
2020-06-25 15:44:20.270 {"radius": 3, "center": [-1.7594677112075887, 0.3127097011768808]}
2020-06-25 15:44:21.618 {"radius": 3, "center": [-2.008682025217727, 0.3991999663020348]}
2020-06-25 15:44:23.284 {"radius": 3, "center": [-2.1489285511293543, 0.4568618675597603]}
2020-06-25 15:44:23.823 {"radius": 3, "center": [-2.1427152058637886, 0.4512759080941452]}
2020-06-25 15:44:24.286 {"radius": 3, "center": [-2.1470400307200084, 0.44424105826791555]}
2020-06-25 15:44:24.750 {"radius": 3, "center": [-2.147229124955824, 0.43740873778647543]}
2020-06-25 15:44:25.518 {"radius": 3, "center": [-2.151580096997463, 0.43101680680181953]}
2020-06-25 15:44:34.184 {"radius": 3, "center": [-2.1454668510632007, 0.4308969204346563]}
2020-06-25 15:44:34.693 {"radius": 3, "center": [-2.15060110119582, 0.437179067886345]}
2020-06-25 15:44:35.088 {"radius": 3, "center": [-2.1491244628761157, 0.4352244203850128]}
2020-06-25 15:44:35.387 {"radius": 3, "center": [-2.1387295225441925, 0.454215519239096]}
2020-06-25 15:44:35.700 {"radius": 3, "center": [-2.1165055882473043, 0.46788492315166885]}
2020-06-25 15:44:35.932 {"radius": 3, "center": [-2.0876699040890743, 0.48990545329893853]}
2020-06-25 15:44:36.166 {"radius": 3, "center": [-2.040747167859342, 0.4997279719998911]}
2020-06-25 15:44:36.624 {"radius": 3, "center": [-1.9346713094750685, 0.499099144765105]}
2020-06-25 15:44:37.623 {"radius": 3, "center": [-1.693198529054063, 0.4650881431703764]}
2020-06-25 15:44:38.630 {"radius": 3, "center": [-1.4454543503863653, 0.4380277771484033]}
2020-06-25 15:44:39.632 {"radius": 3, "center": [-1.1895837000809972, 0.41223382781289136]}
2020-06-25 15:44:40.637 {"radius": 3, "center": [-0.9246401960031099, 0.3976743803738213]}
2020-06-25 15:44:41.566 {"radius": 3, "center": [-0.6762635573483234, 0.3853906537623269]}
2020-06-25 15:44:42.491 {"radius": 3, "center": [-0.4334726726697552, 0.3729914252031982]}
2020-06-25 15:44:43.416 {"radius": 3, "center": [-0.17697071419258517, 0.3632667599513917]}
2020-06-25 15:44:44.384 {"radius": 3, "center": [0.08082698353945784, 0.3504439355956458]}
2020-06-25 15:44:45.376 {"radius": 3, "center": [0.34193790161392, 0.33859983995388476]}
2020-06-25 15:44:46.206 {"radius": 3, "center": [0.5951890303382278, 0.32482072345053226]}
2020-06-25 15:44:47.131 {"radius": 3, "center": [0.855493964703689, 0.3106710647211299]}
2020-06-25 15:44:48.062 {"radius": 3, "center": [1.118036097081504, 0.295368547923102]}
2020-06-25 15:44:48.989 {"radius": 3, "center": [1.3865548419140983, 0.27882812825213094]}
2020-06-25 15:44:49.915 {"radius": 3, "center": [1.6638747375788028, 0.2608513826569389]}
2020-06-25 15:44:50.845 {"radius": 3, "center": [1.935829288910254, 0.23423091701728382]}
2020-06-25 15:44:51.792 {"radius": 3, "center": [2.2037130633142867, 0.21036782306165794]}
2020-06-25 15:44:52.760 {"radius": 3, "center": [2.4792776367018763, 0.19172225517106906]}
2020-06-25 15:44:53.621 {"radius": 3, "center": [2.740524982839024, 0.17170039341867152]}
2020-06-25 15:44:54.471 {"radius": 3, "center": [3.000612537880846, 0.1552927940771026]}
2020-06-25 15:44:55.413 {"radius": 3, "center": [3.265890492345777, 0.13658618214818555]}
2020-06-25 15:44:56.442 {"radius": 3, "center": [3.5399201114432857, 0.12037112660561211]}
2020-06-25 15:44:57.181 {"radius": 3, "center": [3.795448608667205, 0.10411052747524976]}
2020-06-25 15:44:58.111 {"radius": 3, "center": [4.064156158729874, 0.08986182485889889]}
2020-06-25 15:44:58.958 {"radius": 3, "center": [4.325129705453101, 0.08344812707438655]}
2020-06-25 15:44:59.812 {"radius": 3, "center": [4.5728887345978695, 0.07207431771443643]}
2020-06-25 15:45:00.654 {"radius": 3, "center": [4.8368440352356865, 0.058041079600032616]}
2020-06-25 15:45:01.590 {"radius": 3, "center": [5.109506801159281, 0.04188765436509381]}
2020-06-25 15:45:02.437 {"radius": 3, "center": [5.358357182423893, 0.029989484978277536]}
2020-06-25 15:45:03.286 {"radius": 3, "center": [5.602168949902514, 0.015577672639952123]}
2020-06-25 15:45:04.142 {"radius": 3, "center": [5.842600929979068, -0.005543297788233975]}
2020-06-25 15:45:04.988 {"radius": 3, "center": [6.0928888661260165, -0.027013046965082468]}
2020-06-25 15:45:05.834 {"radius": 3, "center": [6.341286728937547, -0.038998431860780905]}
2020-06-25 15:45:06.756 {"radius": 3, "center": [6.60711399238821, -0.04504094721415688]}
2020-06-25 15:45:07.541 {"radius": 3, "center": [6.864815985888482, -0.058756270795845576]}
2020-06-25 15:45:08.390 {"radius": 3, "center": [7.114023682363424, -0.07192738276488753]}
2020-06-25 15:45:09.237 {"radius": 3, "center": [7.3649003463011695, -0.08286992518471203]}
2020-06-25 15:45:10.083 {"radius": 3, "center": [7.607137444261234, -0.10296638346834204]}
2020-06-25 15:45:10.934 {"radius": 3, "center": [7.852237189262729, -0.12252520949225523]}
2020-06-25 15:45:11.859 {"radius": 3, "center": [8.119015415259812, -0.14288028985322002]}
2020-06-25 15:45:12.709 {"radius": 3, "center": [8.376745281746985, -0.16054525017579896]}
2020-06-25 15:45:13.559 {"radius": 3, "center": [8.628964265402818, -0.18708219307415533]}
2020-06-25 15:45:14.413 {"radius": 3, "center": [8.872486529205933, -0.20682078114037675]}
2020-06-25 15:45:15.263 {"radius": 3, "center": [9.130745946904751, -0.23307388792226325]}
2020-06-25 15:45:16.109 {"radius": 3, "center": [9.378036025539176, -0.2556420844677118]}
2020-06-25 15:45:16.949 {"radius": 3, "center": [9.634735131571855, -0.28561478707917287]}
2020-06-25 15:45:17.800 {"radius": 3, "center": [9.888375991826642, -0.31384433599834893]}
2020-06-25 15:45:18.767 {"radius": 3, "center": [10.139548238227766, -0.3507467979467571]}
2020-06-25 15:45:19.579 {"radius": 3, "center": [10.396442471330857, -0.38861448812040383]}
2020-06-25 15:45:20.409 {"radius": 3, "center": [10.63992891594742, -0.4357364033898516]}
2020-06-25 15:45:21.187 {"radius": 3, "center": [10.887743130048014, -0.4981741337961776]}
2020-06-25 15:45:22.116 {"radius": 3, "center": [11.14979979379129, -0.5771329422921704]}
2020-06-25 15:45:23.045 {"radius": 3, "center": [11.401355874282817, -0.6601308570150122]}
2020-06-25 15:45:23.963 {"radius": 3, "center": [11.661159873940852, -0.7563113300229211]}
2020-06-25 15:45:24.891 {"radius": 3, "center": [11.903045107648342, -0.8455757050034912]}
2020-06-25 15:45:25.821 {"radius": 3, "center": [12.16684239874852, -0.9287440982242675]}
2020-06-25 15:45:26.743 {"radius": 3, "center": [12.445008372930866, -0.9707011161114636]}
2020-06-25 15:45:27.665 {"radius": 3, "center": [12.716994518056321, -0.9821017452998898]}
2020-06-25 15:45:28.518 {"radius": 3, "center": [12.970006563054488, -0.9868399192822991]}
2020-06-25 15:45:29.364 {"radius": 3, "center": [13.227185671727268, -0.9986887379553222]}
2020-06-25 15:45:30.307 {"radius": 3, "center": [13.502154313129298, -1.0107396684565753]}
2020-06-25 15:45:31.261 {"radius": 3, "center": [13.76202810175889, -1.0285796497623287]}
2020-06-25 15:45:32.064 {"radius": 3, "center": [14.025139324713077, -1.0404316447725572]}
2020-06-25 15:45:32.910 {"radius": 3, "center": [14.277041902422015, -1.0497178692299196]}
2020-06-25 15:45:33.758 {"radius": 3, "center": [14.519903957106456, -1.0626444824436]}
2020-06-25 15:45:34.608 {"radius": 3, "center": [14.78354637371265, -1.0806699054608442]}
2020-06-25 15:45:35.452 {"radius": 3, "center": [15.04117947454189, -1.1003452003251264]}
2020-06-25 15:45:36.304 {"radius": 3, "center": [15.301892830084094, -1.1176287316668818]}
2020-06-25 15:45:37.149 {"radius": 3, "center": [15.557537776383658, -1.134592738087744]}
2020-06-25 15:45:37.996 {"radius": 3, "center": [15.82101497569849, -1.157088056145117]}
2020-06-25 15:45:38.849 {"radius": 3, "center": [16.055928017848036, -1.1816533720678237]}
2020-06-25 15:45:39.688 {"radius": 3, "center": [16.30940968139359, -1.2098831446463287]}
2020-06-25 15:45:40.620 {"radius": 3, "center": [16.572311919833233, -1.2354049567602687]}
2020-06-25 15:45:41.550 {"radius": 3, "center": [16.85255553339643, -1.2594317113313802]}
2020-06-25 15:45:42.515 {"radius": 3, "center": [17.1045165706278, -1.286196218492838]}
2020-06-25 15:45:43.347 {"radius": 3, "center": [17.385072837383742, -1.312588169715178]}
2020-06-25 15:45:44.326 {"radius": 3, "center": [17.66576057249889, -1.3402635146414923]}
2020-06-25 15:45:45.256 {"radius": 3, "center": [17.938779236172905, -1.3656457731635374]}
2020-06-25 15:45:46.103 {"radius": 3, "center": [18.190658555939653, -1.3935048014827336]}
2020-06-25 15:45:46.953 {"radius": 3, "center": [18.446365149706146, -1.421698577842305]}
2020-06-25 15:45:47.880 {"radius": 3, "center": [18.698489931737495, -1.457020240978057]}
2020-06-25 15:45:48.678 {"radius": 3, "center": [18.941780765053338, -1.4886359334611976]}
2020-06-25 15:45:49.500 {"radius": 3, "center": [19.18177716250659, -1.5191430021489203]}
