2020-06-25 16:49:02.386 {"radius": 3, "center": [16.77995595237939, -1.1775792630019173]}
2020-06-25 16:49:03.362 {"radius": 3, "center": [17.056442656773843, -1.2142446550520363]}
2020-06-25 16:49:04.322 {"radius": 3, "center": [17.333530818419963, -1.2430752103772564]}
2020-06-25 16:49:05.118 {"radius": 3, "center": [17.60801107075679, -1.2622410289679298]}
2020-06-25 16:49:06.022 {"radius": 3, "center": [17.878252000814367, -1.2804864968080079]}
2020-06-25 16:49:06.931 {"radius": 3, "center": [18.14430961239423, -1.3073753417925276]}
2020-06-25 16:49:07.849 {"radius": 3, "center": [18.410936093537945, -1.3420363229838739]}
2020-06-25 16:49:08.750 {"radius": 3, "center": [18.66510769818516, -1.370368987864818]}
2020-06-25 16:49:09.650 {"radius": 3, "center": [18.941894117974275, -1.400426732091422]}
2020-06-25 16:49:10.607 {"radius": 3, "center": [19.210959025589734, -1.4383168762007126]}
2020-06-25 16:49:11.469 {"radius": 3, "center": [19.482878022520843, -1.4715226740225478]}
2020-06-25 16:49:12.380 {"radius": 3, "center": [19.75269581158518, -1.5066360363245288]}
2020-06-25 16:49:13.282 {"radius": 3, "center": [20.014017438599037, -1.5665037773430577]}
