Time,R1_latency,R2_latency,R3_latency,R4_latency,R5_latency,R6_latency,ne_latency,fe_latency,cs_latency,PoA,server,SNR
323,0,0,2,0,0,0,0,4,0,R3,fe,25.44
324,0,0,2,0,0,0,0,4,0,R3,fe,25.44
325,0,0,2,0,0,0,0,4,0,R3,fe,25.44
326,0,0,2,0,0,0,0,4,0,R3,fe,25.44
327,0,0,2,0,0,0,0,4,0,R3,fe,25.44
328,0,0,2,0,0,0,0,4,0,R3,fe,25.44
329,0,0,2,0,0,0,0,4,0,R3,fe,25.44
330,0,0,2,0,0,0,0,4,0,R3,fe,25.44
331,0,0,2,0,0,0,0,4,0,R3,fe,25.44
332,0,0,2,0,0,0,0,4,0,R3,fe,25.44
333,0,0,2,0,0,0,0,4,0,R3,fe,25.44
334,0,0,2,0,0,0,0,4,0,R3,fe,25.44
335,0,0,2,0,0,0,0,4,0,R3,fe,25.44
336,0,0,2,0,0,0,0,4,0,R3,fe,25.44
337,0,0,2,0,0,0,0,4,0,R3,fe,25.44
338,0,0,2,0,0,0,0,4,0,R3,fe,25.44
339,0,0,2,0,0,0,0,4,0,R3,fe,25.44
340,0,0,2,0,0,0,0,4,0,R3,fe,25.44
341,0,0,2,0,0,0,0,4,0,R3,fe,25.44
342,0,0,2,0,0,0,0,4,0,R3,fe,25.44
343,0,0,2,0,0,0,0,4,0,R3,fe,25.44
344,0,0,2,0,0,0,0,4,0,R3,fe,25.44
345,0,0,2,0,0,0,0,4,0,R3,fe,25.44
346,0,0,2,0,0,0,0,4,0,R3,fe,25.44
347,0,0,2,0,0,0,0,4,0,R3,fe,25.44
348,0,0,2,0,0,0,0,4,0,R3,fe,25.44
349,0,0,2,0,0,0,0,4,0,R3,fe,25.44
350,0,0,2,0,0,0,0,4,0,R3,fe,25.44
351,0,0,2,0,0,0,0,0,9,R3,cs,25.44
352,0,0,2,0,0,0,0,0,9,R3,cs,25.44
353,0,0,2,0,0,0,0,0,9,R3,cs,25.44
354,0,0,2,0,0,0,0,0,9,R3,cs,25.44
355,0,0,2,0,0,0,0,0,9,R3,cs,25.44
356,0,0,2,0,0,0,0,0,9,R3,cs,25.44
357,0,0,2,0,0,0,0,0,9,R3,cs,25.44
